S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities,Scale_type
232,SINGAPORE TYLER PRINT INSTITUTE,Registered with IPC,200008878C,From 01/11/2022 to 31/10/2025,Arts and Heritage,Visual Arts,"Public awareness, promotion & advisory",10000000
620,SG SERVE LTD.,Registered with IPC,201621736D,From 25/10/2022 to 24/10/2025,Health,Other Community-based Services,"Direct Services Supports other Charities Training & education Public awareness, promotion & advisory",200000
265,THE MAJURITY TRUST LIMITED,Registered with IPC,201734370C,From 14/4/2022 to 13/4/2024,Others,General Charitable Purposes,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",10000000
75,GARDENS BY THE BAY,Registered with IPC,201132829N,From 01/4/2023 to 31/3/2026,Others,Environment,Direct Services,20000000
534,O'JOY LIMITED,Registered with IPC,201805560D,From 06/6/2021 to 05/6/2024,Health,Mental Health,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",5000000
674,THE PRIVATE MUSEUM LTD.,Registered with IPC,201005410R,From 03/5/2022 to 02/5/2024,Arts and Heritage,"Historical & Cultural Conservation,Visual Arts","Public awareness, promotion & advisory",1000000
687,THONG CHAI INSTITUTE OF MEDICAL RESEARCH,Registered with IPC,200311661W,From 18/4/2022 to 17/4/2025,Health,TCM Clinic,Training & education Research,1000000
38,APSARAS ARTS LTD,Registered,200510112D,Not Applicable,Arts and Heritage,"Professional, Contemporary & Ethnic Dance,Traditional Ethnic Performing Arts","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",5000000
33,ART OUTREACH SINGAPORE LIMITED,Registered with IPC,200304127K,From 01/4/2022 to 31/3/2025,Arts and Heritage,"Training & Education,Visual Arts",Training & education,1000000
556,SINGAPORE DRAMA EDUCATORS ASSOCIATION,Registered,T02SS0123G,Not Applicable,Arts and Heritage,"Others,Theatre & Dramatic Arts,Training & Education","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",500000
281,HOPEHOUSE LTD.,Registered with IPC,201010093H,From 01/11/2021 to 31/1/2024,Social and Welfare,Children/Youth,Direct Services,1000000
184,SASCO SENIOR CITIZENS' HOME,Registered with IPC,S89CC0702G,From 07/7/2022 to 06/4/2024,Social and Welfare,"Community,Eldercare,Support Groups",Direct Services,20000000
671,SINGAPORE GYMNASTICS,Registered with IPC,T03SS0136E,From 26/10/2022 to 25/10/2025,Sports,NSAs,,5000000
47,CHINESE DEVELOPMENT ASSISTANCE COUNCIL,Registered with IPC,199202625K,From 22/5/2022 to 21/5/2027,Others,Self-Help Groups,,20000000
793,THE HUT LIMITED,Registered with IPC,202007365W,From 13/7/2021 to 12/7/2023,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Training & education",5000000
669,Singapore Golf Association,Registered with IPC,S61SS0189L,From 13/4/2021 to 12/4/2024,Sports,NSAs,Direct Services Training & education,5000000
632,SIKH WELFARE COUNCIL,Registered with IPC,S98SS0018L,From 01/2/2022 to 31/1/2025,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",5000000
4,AGAM LTD.,Registered with IPC,201903610E,From 20/5/2022 to 19/11/2023,Arts and Heritage,"Historical & Cultural Conservation,Theatre & Dramatic Arts","Public awareness, promotion & advisory Training & education Research",250000
59,BLESSED GRACE SOCIAL SERVICES LIMITED,Registered with IPC,201407233M,From 01/2/2022 to 31/1/2024,Social and Welfare,"Community,Eldercare,Family,Support Groups",Direct Services,500000
768,TASEK JURONG LIMITED,Registered with IPC,201437089G,From 21/12/2021 to 20/12/2023,Social and Welfare,"Community,Support Groups","Grantmaking Financial assistance, bursaries & scholarships Training & education",5000000
150,CASA RAUDHA LTD.,Registered with IPC,201713778N,From 20/1/2022 to 19/10/2023,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory",5000000
496,NEW REDEEMER'S FELLOWSHIP SOCIETY,Registered,T07SS0228C,Not Applicable,Social and Welfare,"Community,Family,Support Groups",,200000
134,Chiam See Tong Sports Fund,Registered,T17SS0038G,Not Applicable,Others,Children/Youth,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",200000
264,EAGLES MEDIATION & COUNSELLING CENTRE LTD.,Registered with IPC,201904577Z,From 17/8/2022 to 16/3/2024,Social and Welfare,"Community,Family","Direct Services Public awareness, promotion & advisory Training & education",5000000
24,ASHOKA : INNOVATORS FOR THE PUBLIC (SINGAPORE) LIMITED,Registered,201020535E,Not Applicable,Others,General Charitable Purposes,,50000
490,MUSLIMIN TRUST FUND ASSOCIATION,Registered,190400006N,Not Applicable,Religious,Islam,"Financial assistance, bursaries & scholarships",5000000
14,AKARAKA LIMITED,Registered,201017533Z,Not Applicable,Others,Children/Youth,"Financial assistance, bursaries & scholarships",500000
760,TAMAN JURONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S87CC0501H,From 01/4/2021 to 31/3/2024,Community,South West,"Financial assistance, bursaries & scholarships Supports other Charities",5000000
697,Toa Payoh East CCC Community Development and Welfare Fund,Registered with IPC,T03CC1736B,From 01/10/2020 to 30/9/2023,Community,Central,"Financial assistance, bursaries & scholarships",1000000
75,Brighton Connection,Registered with IPC,T05SS0234C,From 10/5/2022 to 09/2/2024,Social and Welfare,"Children/Youth,Eldercare",Direct Services Training & education,1000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
694,Singapore Wind Symphony (SWS),Registered,S92SS0102B,Not Applicable,Arts and Heritage,Music & Orchestras,Direct Services Supports other Charities,200000
312,K9ASSISTANCE (LIMITED),Registered,202010657N,Not Applicable,Social and Welfare,Disability (Adult),"Direct Services Public awareness, promotion & advisory Training & education Research",500000
660,THE GREENHOUSE COMMUNITY SERVICES LTD.,Registered with IPC,202008502N,From 18/10/2022 to 17/10/2023,Social and Welfare,"Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Training & education Research",500000
114,CHANGE COMMUNITY SERVICES LIMITED,Registered,201003883D,Not Applicable,Social and Welfare,"Children/Youth,Community,Family",Direct Services,200000
490,RIVERLIFE COMMUNITY SERVICES LIMITED,Registered with IPC,200711586W,From 01/3/2023 to 31/1/2024,Social and Welfare,Community,Direct Services Training & education,1000000
645,TFA LALITA KALA COMPANY,Registered with IPC,200410925C,From 01/3/2022 to 29/2/2024,Arts and Heritage,Traditional Ethnic Performing Arts,,500000
759,Tai Pei Old People's Home,Registered with IPC,S80SS0149C,From 20/2/2023 to 19/2/2026,Health,,Direct Services,5000000
743,WRESTLING FEDERATION OF SINGAPORE,Registered with IPC,T08SS0214H,From 01/2/2022 to 31/1/2025,Sports,NSAs,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",1000000
4,ALEXANDRA HEALTH FUND LIMITED,Registered with IPC,201427909W,From 21/6/2021 to 20/6/2024,Health,,Grantmaking Research,20000000
602,Sports Boules Singapore,Registered,S90SS0085G,,Sports,NSAs,Direct Services Training & education,500000
27,BRIGHT HILL EVERGREEN HOME,Registered with IPC,S82SS0008F,From 01/12/2020 to 30/11/2023,Health,Nursing Home,Direct Services,20000000
584,Singapore Women's Association (Persatuan Wanita Singapura),Registered with IPC,S54SS0010L,From 03/1/2022 to 02/1/2025,Social and Welfare,Community,"Public awareness, promotion & advisory Supports other Charities Training & education",500000
12,APSN LTD.,Registered with IPC,202018265W,From 06/1/2023 to 05/1/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education Research",20000000
393,JURONG SPRING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T11CC0005A,From 01/1/2022 to 31/12/2024,Community,South West,"Financial assistance, bursaries & scholarships",5000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
202,SINGAPORE CHINESE CULTURAL CENTRE,Registered with IPC,201309577Z,From 01/2/2023 to 31/1/2026,Arts and Heritage,"Historical & Cultural Conservation,Literary Arts,Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Visual Arts","Direct Services Public awareness, promotion & advisory",20000000
441,Society Against Family Violence,Registered,S91SS0038H,Not Applicable,Social and Welfare,Family,"Research Training & education Public awareness, promotion & advisory",50000
60,BILBY COMMUNITY DEVELOPMENT LTD.,Registered,201942228D,Not Applicable,Social and Welfare,"Children/Youth,Community","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",200000
663,Singapore Council of Women's Organisations,Registered with IPC,S80SS0026C,From 03/5/2023 to 02/5/2025,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Research",5000000
459,MAMRE OAKS LIMITED,Registered with IPC,201526053M,From 01/3/2022 to 28/2/2025,Social and Welfare,Disability (Adult),Direct Services,5000000
120,LIONS HOME FOR THE ELDERS,Registered with IPC,S80SS0029B,From 27/4/2023 to 26/4/2026,Health,Nursing Home,"Direct Services Financial assistance, bursaries & scholarships",20000000
351,HEB - ASHRAM HALFWAY HOUSE,Registered with IPC,T09CC0009L,From 01/2/2023 to 30/11/2024,Social and Welfare,Support Groups,,5000000
209,Singapore Indian Development Association (SINDA),Registered with IPC,S90SS0098L,From 16/12/2021 to 15/2/2026,Others,Self-Help Groups,"Financial assistance, bursaries & scholarships Training & education",20000000
100,Ju Eng Home for Senior Citizens,Registered with IPC,S89SS0113B,From 15/5/2022 to 14/5/2025,Health,Nursing Home,,20000000
88,CONJUNCT CONSULTING (SINGAPORE) LIMITED,Registered,201319107K,Not Applicable,Others,General Charitable Purposes,Supports other Charities,250000
489,REDHILL MORAL SENIOR ACTIVITY CENTRE,Registered,S96CC1169J,Not Applicable,Health,,,500000
55,BGR INTERNATIONAL,Registered,200722544Z,Not Applicable,Others,Humanitarian Aid,Direct Services Grantmaking Supports other Charities Training & education,500000
113,CHAMBER MUSIC AND ARTS SINGAPORE LIMITED,Registered,202020064E,Not Applicable,Arts and Heritage,"Music & Orchestras,Training & Education,Visual Arts","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",200000
170,Friends of Autism Charitable Trust,Registered,T20CC0001D,Not Applicable,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",50000
64,DEMENTIA SINGAPORE LTD.,Registered with IPC,202111519K,From 01/1/2022 to 31/12/2024,Health,Others,"Direct Services Public awareness, promotion & advisory Training & education Research",20000000
719,SPECIAL NEEDS TRUST COMPANY LIMITED,Registered with IPC,200812120W,From 01/8/2022 to 31/7/2025,Social and Welfare,"Community,Disability (Adult),Disability (Children)",Direct Services,5000000
164,CFL Lumens Trust,Registered with IPC,T20CC0003G,From 30/10/2022 to 29/7/2024,Social and Welfare,"Children/Youth,Community,Family",Direct Services Training & education,5000000
880,Woodlands Social Centre,Registered with IPC,S99SS0135G,From 01/3/2021 to 31/8/2023,Social and Welfare,"Children/Youth,Family","Direct Services Financial assistance, bursaries & scholarships",5000000
186,CHILDREN'S MUSEUM SINGAPORE,Registered with IPC,199502248C,From 01/1/2023 to 31/12/2024,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education Research",5000000
681,"Singapore Life Saving Society, The",Registered,S67SS0031B,From 16/9/2021 to 15/9/2022,Sports,NSAs,"Public awareness, promotion & advisory",5000000
602,SAF CARE FUND,Registered with IPC,201323131D,From 01/4/2023 to 31/1/2026,Social and Welfare,Disability (Adult),"Financial assistance, bursaries & scholarships",5000000
531,OBJECTIFS CENTRE LTD.,Registered with IPC,201436096K,From 08/12/2022 to 07/12/2024,Arts and Heritage,Visual Arts,,5000000
249,St. John Singapore,Registered with IPC,S70SS0009L,From 01/7/2021 to 30/6/2024,Health,Others,Training & education,10000000
59,CAREERCONSORTIA LIMITED,Registered,202040991W,Not Applicable,Social and Welfare,"Community,Support Groups","Direct Services Research Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory",50000
421,NULIFE CARE & COUNSELLING SERVICES LIMITED,Registered with IPC,200416313W,From 18/6/2022 to 17/12/2023,Social and Welfare,Community,Direct Services,1000000
45,BEAUTIFUL MIND CHARITY,Registered with IPC,T12SS0009G,From 17/2/2023 to 16/2/2025,Arts and Heritage,"Music & Orchestras,Others,Training & Education",Direct Services Supports other Charities Training & education,200000
72,Bethesda CARE Centre,Registered with IPC,S96SS0198K,From 05/3/2022 to 04/6/2024,Social and Welfare,Community,Direct Services,5000000
71,Change Our World,Registered,T03SS0224K,Not Applicable,Social and Welfare,Community,Direct Services,50000
331,KRETA AYER- KIM SENG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0678E,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships",500000
99,CARINGSG LIMITED,Registered with IPC,202034409E,From 19/1/2023 to 18/1/2024,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education",500000
297,ITSRAININGRAINCOATS LTD.,Registered,202040087Z,Not Applicable,Others,"General Charitable Purposes,Humanitarian Aid","Financial assistance, bursaries & scholarships Public awareness, promotion & advisory Training & education",500000
860,VENTURE MUSIC ASIA LTD.,Registered,201733785K,Not Applicable,Arts and Heritage,"Historical & Cultural Conservation,Music & Orchestras,Training & Education","Public awareness, promotion & advisory Training & education",5000000
200,Singapore Badminton Association,Registered with IPC,S61SS0032A,From 07/4/2021 to 06/4/2024,Sports,NSAs,Training & education,10000000
67,DYSLEXIA ASSOCIATION OF SINGAPORE,Registered with IPC,202114767K,From 25/8/2021 to 31/3/2024,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships Direct Services Research Training & education",20000000
282,GLYPH COMMUNITY LIMITED,Registered,202118099N,Not Applicable,Social and Welfare,"Children/Youth,Children/Youth",Direct Services,200000
363,RISE COMMUNITY LIMITED,Registered,202102374C,Not Applicable,Social and Welfare,"Community,Family","Direct Services Research Supports other Charities Training & education Public awareness, promotion & advisory",50000
113,FLAMENCO SIN FRONTERAS LTD.,Registered,201132553D,Not Applicable,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Public awareness, promotion & advisory Training & education",250000
831,TRIGEN LTD.,Registered,201924656N,Not Applicable,Health,,Direct Services Training & education,200000
475,Queenstown Multi-Service Centre,Registered with IPC,T03SS0013E,From 18/2/2023 to 17/2/2026,Health,,Direct Services,1000000
221,"SINGAPORE SCOUT ASSOCIATION, THE",Registered with IPC,S85CC0196D,From 01/9/2022 to 31/8/2025,Education,Uniformed Groups,Training & education,20000000
874,WICARE SUPPORT GROUP,Registered with IPC,S98SS0084G,From 29/4/2022 to 28/4/2024,Social and Welfare,Support Groups,Direct Services,5000000
631,TANG RENAISSANCE,Registered with IPC,201630110G,From 27/2/2023 to 26/2/2025,Arts and Heritage,Traditional Ethnic Performing Arts,"Training & education Public awareness, promotion & advisory",500000
881,WWFS CONSERVATION FUND,Registered with IPC,T06CC1999F,From 01/7/2021 to 30/6/2023,Others,Environment,"Public awareness, promotion & advisory",5000000
20,Ain Society,Registered with IPC,T00SS0163F,From 12/4/2023 to 11/4/2024,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
196,HCA HOSPICE LIMITED,Registered with IPC,202114297R,From 01/10/2022 to 30/9/2025,Health,Hospice,"Direct Services Research Public awareness, promotion & advisory",50000
169,PEOPLE'S ASSOCIATION - (COMMUNITY DEVELOPMENT COUNCIL PROJECT FUND MANAGEMENT COMMITTEE),Exempt Charity with IPC,T07CC3010D,From 01/4/2022 to 31/3/2027,Social and Welfare,Community,"Financial assistance, bursaries & scholarships",20000000
128,CURIOUS THOUGHTS GIVING LIMITED,Registered,201718734C,Not Applicable,Social and Welfare,"Children/Youth,Eldercare","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",50000
784,THE FINGER PLAYERS LTD,Registered with IPC,199905145W,From 01/7/2021 to 30/6/2023,Arts and Heritage,Theatre & Dramatic Arts,"Public awareness, promotion & advisory Training & education",5000000
669,THE OBSERVATORY MUSIC LTD.,Registered,201102790R,Not Applicable,Arts and Heritage,Music & Orchestras,"Public awareness, promotion & advisory Research",500000
172,CLEMENTI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S95CC1101F,From 01/7/2021 to 30/6/2024,Community,South West,"Financial assistance, bursaries & scholarships",200000
396,MY COMMUNITY LIMITED,Registered with IPC,202000632R,From 01/6/2022 to 31/5/2023,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education Research",500000
286,Trans Family Services,Registered with IPC,S88SS0005D,From 01/8/2021 to 30/4/2024,Social and Welfare,Family,Direct Services,20000000
667,THE MALAY HERITAGE FOUNDATION LTD,Registered with IPC,199904358R,From 29/5/2022 to 28/5/2025,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory",1000000
222,SINGAPORE RUGBY UNION,Registered,S66SS0003G,Not Applicable,Sports,NSAs,Training & education,10000000
97,CARING FOR LIFE LTD.,Registered with IPC,201938707Z,From 07/3/2023 to 06/3/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",1000000
9,Adullam Life Counselling,Registered,T13SS0070F,Not Applicable,Social and Welfare,"Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",200000
639,SINGAPORE ATHLETIC ASSOCIATION,Registered with IPC,S63SS0015L,From 02/2/2021 to 01/2/2024,Sports,NSAs,"Public awareness, promotion & advisory Training & education",5000000
109,BUKIT BATOK EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T02CC1597H,From 01/4/2023 to 31/3/2026,Community,South West,"Financial assistance, bursaries & scholarships Supports other Charities",5000000
440,Lions Community Service Foundation (Singapore),Registered with IPC,T03SS0068K,From 01/12/2022 to 31/5/2023,Social and Welfare,Community,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education",5000000
38,BUKIT TIMAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0825C,From 01/1/2021 to 31/12/2023,Community,North West,"Direct Services Financial assistance, bursaries & scholarships",10000000
215,Singapore Ice Skating Association,Registered with IPC,S98SS0168E,From 01/1/2021 to 31/12/2023,Sports,NSAs,"Direct Services Public awareness, promotion & advisory Training & education",10000000
212,SINGAPORE INSTITUTE OF TECHNOLOGY,Registered with IPC,200917667D,From 01/2/2021 to 31/1/2024,Education,Local Educational Institutions/Funds,Training & education,20000000
8,ACMI Migrant Fund,Registered with IPC,T16CC0006L,From 04/9/2022 to 03/4/2024,Social and Welfare,"Community,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",1000000
92,INTERNATIONAL COMMUNITY SCHOOL (SINGAPORE) LTD,Registered,199303918N,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education,20000000
556,PEOPLE'S ASSOCIATION COMMUNITY DEVELOPMENT FUND,Exempt Charity with IPC,T07CC3011L,From 01/6/2022 to 31/5/2027,Community,"Central,North East,North West,South East,South West","Public awareness, promotion & advisory",5000000
162,"Federation of Youth Clubs, Singapore",Registered,S62SS0052E,Not Applicable,Others,Children/Youth,Direct Services Supports other Charities,50000
692,Singapore Silat Federation,Registered with IPC,S76SS0039A,From 11/2/2022 to 10/2/2024,Sports,NSAs,"Direct Services Public awareness, promotion & advisory Training & education",5000000
